univLabel,alumniLabel,occupationLabel,employerLabel,positionLabel,wiki
Airlangga University,Abdul Kadir Jailani,,,-,
Airlangga University,Achmad Yurianto,,,-,
Airlangga University,Ardi Hermawan,,,-,
Airlangga University,Ari Lasso,,,-,
Airlangga University,Ari Lasso,"Singer, songwriter, actor",,-,
Airlangga University,Aswanto,Justice (title),,-,
Airlangga University,Ayu Maulida,People's Consultative Assembly,,Miss Universe Indonesia 2020,
Airlangga University,Ayu Maulida,People's Consultative Assembly,,Puteri Indonesia 2020,
Airlangga University,Ayu Maulida,People's Consultative Assembly,,Puteri Indonesia Jawa Timur 2020,
Airlangga University,Ayu Maulida,Beauty pageant,,Miss Universe Indonesia 2020,
Airlangga University,Ayu Maulida,Beauty pageant,,Puteri Indonesia 2020,
Airlangga University,Ayu Maulida,Beauty pageant,,Puteri Indonesia Jawa Timur 2020,
Airlangga University,Ayu Maulida,COVID-19 Response Acceleration Task Force,,Miss Universe Indonesia 2020,
Airlangga University,Ayu Maulida,COVID-19 Response Acceleration Task Force,,Puteri Indonesia 2020,
Airlangga University,Ayu Maulida,COVID-19 Response Acceleration Task Force,,Puteri Indonesia Jawa Timur 2020,
Airlangga University,Ayu Maulida,People's Consultative Assembly,,Puteri Indonesia,
Airlangga University,Ayu Maulida,Beauty pageant,,Puteri Indonesia,
Airlangga University,Ayu Maulida,COVID-19 Response Acceleration Task Force,,Puteri Indonesia,
Airlangga University,Ayu Maulida,People's Consultative Assembly,,Puteri East Java,
Airlangga University,Ayu Maulida,Beauty pageant,,Puteri East Java,
Airlangga University,Ayu Maulida,COVID-19 Response Acceleration Task Force,,Puteri East Java,
Airlangga University,Ayu Maulida,,,Miss Universe Indonesia 2020,
Airlangga University,Ayu Maulida,,,Puteri Indonesia 2020,
Airlangga University,Ayu Maulida,,,Puteri Indonesia Jawa Timur 2020,
Airlangga University,Ayu Maulida,model,,Miss Universe Indonesia 2020,
Airlangga University,Ayu Maulida,model,,Puteri Indonesia 2020,
Airlangga University,Ayu Maulida,model,,Puteri Indonesia Jawa Timur 2020,
Airlangga University,Ayu Maulida,beauty pageant titleholder,,Miss Universe Indonesia 2020,
Airlangga University,Ayu Maulida,beauty pageant titleholder,,Puteri Indonesia 2020,
Airlangga University,Ayu Maulida,beauty pageant titleholder,,Puteri Indonesia Jawa Timur 2020,
