univLabel,alumniLabel,occupationLabel,employerLabel,positionLabel,wiki
Indonesian Military Academy,A.M. Hendropriyono,-,-,-,-
Indonesia University of Education,Aang Hamid Suganda,-,-,-,-
Trisakti University,Abcandra Muhammad Akbar Supratman,-,-,-,-
State University of Malang,Abdul Halim Iskandar,-,-,-,-
Airlangga University,Abdul Kadir Jailani,-,-,-,-
University of Jember,Abdul Kadir Jailani,-,-,-,-
Syarif Hidayatullah State Islamic University Jakarta,Abdul Mu'ti,-,-,-,-
Walisongo State Islamic University,Abdul Mu'ti,-,-,-,-
University of North Sumatra,Abdul Wahab Dalimunthe,-,-,-,-
Brawijaya University,Abdul Wahid (politician),-,-,-,-
State University of Jakarta,Abdullah Azwar Anas,-,-,-,-
Institut Teknologi Bandung,Abdullah Gymnastiar,-,-,-,-
Institut Teknologi Bandung,Abdullah Gymnastiar,"Islamic preacher, singer, author, entrepreneur, founder of the Da'arut Tauhiid Pondok Pesantren, Founder of AA GYM",-,-,-
Indonesian Military Academy,Abdullah Mahmud Hendropriyono,-,-,-,-
Diponegoro University,Abel Pires da Silva,Computer scientist,-,9,-
Diponegoro University,Abel Pires da Silva,Computer scientist and politician,-,9,-
Hasanuddin University,Abraham Samad,-,Corruption Eradication Commission,Chairman,-
Institut Teknologi Bandung,Aburizal Bakrie,-,-,Coordinating Minister for the Economy,-
Institut Teknologi Bandung,Aburizal Bakrie,-,-,Coordinating Minister for People's Welfare,-
Institut Teknologi Bandung,Aburizal Bakrie,-,Bakrie And Brothers,Chairman,-
Institut Teknologi Bandung,Aburizal Bakrie,-,Golkar,Leader,-
Institut Teknologi Bandung,Aburizal Bakrie,-,Indonesian Chamber Of Commerce,President,-
Universitas Indonesia,Ace Hasan Syadzily,dosen,Universitas Islam Negeri Syarif Hidayatullah Jakarta,anggota DPR-RI,-
Universitas Indonesia,Ace Hasan Syadzily,dosen,Universitas Islam Negeri Syarif Hidayatullah Jakarta,anggota DPR-RI,-
Universitas Indonesia,Ace Hasan Syadzily,politikus,Universitas Islam Negeri Syarif Hidayatullah Jakarta,anggota DPR-RI,-
Universitas Islam Negeri Syarif Hidayatullah Jakarta,Ace Hasan Syadzily,dosen,Universitas Islam Negeri Syarif Hidayatullah Jakarta,anggota DPR-RI,-
Universitas Islam Negeri Syarif Hidayatullah Jakarta,Ace Hasan Syadzily,dosen,Universitas Islam Negeri Syarif Hidayatullah Jakarta,anggota DPR-RI,-
Universitas Islam Negeri Syarif Hidayatullah Jakarta,Ace Hasan Syadzily,politikus,Universitas Islam Negeri Syarif Hidayatullah Jakarta,anggota DPR-RI,-
Universitas Padjadjaran,Ace Hasan Syadzily,dosen,Universitas Islam Negeri Syarif Hidayatullah Jakarta,anggota DPR-RI,-
Universitas Padjadjaran,Ace Hasan Syadzily,dosen,Universitas Islam Negeri Syarif Hidayatullah Jakarta,anggota DPR-RI,-
Universitas Padjadjaran,Ace Hasan Syadzily,politikus,Universitas Islam Negeri Syarif Hidayatullah Jakarta,anggota DPR-RI,-
Universitas Indonesia,Ace Hasan Syadzily,dosen,Universitas Islam Negeri Syarif Hidayatullah Jakarta,anggota Dewan Perwakilan Rakyat Daerah Indonesia,-
Universitas Indonesia,Ace Hasan Syadzily,dosen,Universitas Islam Negeri Syarif Hidayatullah Jakarta,anggota Dewan Perwakilan Rakyat Daerah Indonesia,-
Universitas Indonesia,Ace Hasan Syadzily,politikus,Universitas Islam Negeri Syarif Hidayatullah Jakarta,anggota Dewan Perwakilan Rakyat Daerah Indonesia,-
Universitas Islam Negeri Syarif Hidayatullah Jakarta,Ace Hasan Syadzily,dosen,Universitas Islam Negeri Syarif Hidayatullah Jakarta,anggota Dewan Perwakilan Rakyat Daerah Indonesia,-
Universitas Islam Negeri Syarif Hidayatullah Jakarta,Ace Hasan Syadzily,dosen,Universitas Islam Negeri Syarif Hidayatullah Jakarta,anggota Dewan Perwakilan Rakyat Daerah Indonesia,-
Universitas Islam Negeri Syarif Hidayatullah Jakarta,Ace Hasan Syadzily,politikus,Universitas Islam Negeri Syarif Hidayatullah Jakarta,anggota Dewan Perwakilan Rakyat Daerah Indonesia,-
Universitas Padjadjaran,Ace Hasan Syadzily,dosen,Universitas Islam Negeri Syarif Hidayatullah Jakarta,anggota Dewan Perwakilan Rakyat Daerah Indonesia,-
Universitas Padjadjaran,Ace Hasan Syadzily,dosen,Universitas Islam Negeri Syarif Hidayatullah Jakarta,anggota Dewan Perwakilan Rakyat Daerah Indonesia,-
Universitas Padjadjaran,Ace Hasan Syadzily,politikus,Universitas Islam Negeri Syarif Hidayatullah Jakarta,anggota Dewan Perwakilan Rakyat Daerah Indonesia,-
Universitas Indonesia,Achir Yani Hamid,peneliti,Universitas Indonesia,full professor,-
Universitas Indonesia,Achir Yani Hamid,pegawai negeri sipil,Universitas Indonesia,full professor,-
IPB University,Achjani Atmakusuma,-,-,-,-
State University of Jakarta,Achmad Hulaefi,-,-,-,-
Syarif Hidayatullah State Islamic University Jakarta,Achmad Mubarok,Professor,-,-,-
Airlangga University,Achmad Yurianto,-,-,-,-
Institut Teknologi Bandung,Achmad Zaky,List of Internet entrepreneurs,-,"CEO, Bukalapak",-
Institut Teknologi Bandung,Achmad Zaky,-,-,"CEO, Bukalapak",-
Institut Teknologi Bandung,Achmad Zaky,-,-,"CEO, Bukalapak",-
Institut Teknologi Bandung,Achmad Zaky,Internet entrepreneur,-,"CEO, Bukalapak",-
Institut Teknologi Bandung,Achmad Zaky,investor,-,"CEO, Bukalapak",-
Institut Teknologi Bandung,Achmad Zaky,List of Internet entrepreneurs,-,"CEO, Bukalapak (2010–2020)",-
Institut Teknologi Bandung,Achmad Zaky,-,-,"CEO, Bukalapak (2010–2020)",-
Institut Teknologi Bandung,Achmad Zaky,-,-,"CEO, Bukalapak (2010–2020)",-
Institut Teknologi Bandung,Achmad Zaky,Internet entrepreneur,-,"CEO, Bukalapak (2010–2020)",-
Institut Teknologi Bandung,Achmad Zaky,investor,-,"CEO, Bukalapak (2010–2020)",-
Brawijaya University,Adalgisa Ximenes,-,-,-,-
Alauddin Islamic State University,Adam Rahayaan,-,-,-,-
Institut Teknologi Bandung,Adang Surahman,akademisi,Institut Teknologi Bandung,Rektor,-
Institut Teknologi Bandung,Adang Surahman,lektor,Institut Teknologi Bandung,Rektor,-
Institut Teknologi Bandung,Adang Surahman,pegawai negeri sipil,Institut Teknologi Bandung,Rektor,-
IPB University,Adhyaksa Dault,-,-,-,-
Trisakti University,Adhyaksa Dault,-,-,-,-
Mulawarman University,Adi Darma,-,-,-,-
Universitas Gadjah Mada,Adi Utarini,-,-,-,-
Universitas Gadjah Mada,Adrianus Mooy,-,-,Bank Indonesia,-
Universitas Gadjah Mada,Adrianus Mooy,-,Indonesia To Belgium,Ambassador,-
